latex	unicode
\mathbb{j}	U+1D55B
\mathbb{k}	U+1D55C
\mathbb{l}	U+1D55D
\mathbb{m}	U+1D55E
\mathbb{n}	U+1D55F
\mathbb{o}	U+1D560
\mathbb{p}	U+1D561
\mathbb{q}	U+1D562
\mathbb{r}	U+1D563
\mathbb{s}	U+1D564
\mathbb{t}	U+1D565
\mathbb{u}	U+1D566
\mathbb{v}	U+1D567
\mathbb{w}	U+1D568
\mathbb{x}	U+1D569
\mathbb{y}	U+1D56A
\mathbb{z}	U+1D56B
\mathbfit{A}	U+1D468
\mathbfit{B}	U+1D469
\mathbfit{C}	U+1D46A
\mathbfit{D}	U+1D46B
\mathbfit{E}	U+1D46C
\mathbfit{F}	U+1D46D
\mathbfit{G}	U+1D46E
\mathbfit{H}	U+1D46F
\mathbfit{I}	U+1D470
\mathbfit{J}	U+1D471
\mathbfit{K}	U+1D472
\mathbfit{L}	U+1D473
\mathbfit{M}	U+1D474
\mathbfit{N}	U+1D475
\mathbfit{O}	U+1D476
\mathbfit{P}	U+1D477
\mathbfit{Q}	U+1D478
\mathbfit{R}	U+1D479
\mathbfit{S}	U+1D47A
\mathbfit{T}	U+1D47B
\mathbfit{U}	U+1D47C
\mathbfit{V}	U+1D47D
\mathbfit{W}	U+1D47E
\mathbfit{X}	U+1D47F
\mathbfit{Y}	U+1D480
\mathbfit{Z}	U+1D481
\mathbfit{\Delta}	U+1D71F
\mathbfit{\Gamma}	U+1D71E
\mathbfit{\Lambda}	U+1D726
\mathbfit{\Omega}	U+1D734
\mathbfit{\Phi}	U+1D731
\mathbfit{\Pi}	U+1D72B
\mathbfit{\Psi}	U+1D733
\mathbfit{\Sigma}	U+1D72E
\mathbfit{\Theta}	U+1D723
\mathbfit{\Upsilon}	U+1D730
\mathbfit{\Xi}	U+1D729
\mathbfit{\alpha}	U+1D736
\mathbfit{\beta}	U+1D737
\mathbfit{\chi}	U+1D74C
\mathbfit{\delta}	U+1D739
\mathbfit{\epsilon}	U+1D750
\mathbfit{\eta}	U+1D73C
\mathbfit{\gamma}	U+1D738
\mathbfit{\iota}	U+1D73E
\mathbfit{\kappa}	U+1D73F
\mathbfit{\lambda}	U+1D740
\mathbfit{\mu}	U+1D741
\mathbfit{\nu}	U+1D742
\mathbfit{\omega}	U+1D74E
\mathbfit{\phi}	U+1D753
\mathbfit{\pi}	U+1D745
\mathbfit{\psi}	U+1D74D
\mathbfit{\rho}	U+1D746
\mathbfit{\sigma}	U+1D748
\mathbfit{\tau}	U+1D749
\mathbfit{\theta}	U+1D73D
\mathbfit{\upsilon}	U+1D74A
\mathbfit{\varepsilon}	U+1D73A
\mathbfit{\varphi}	U+1D74B
\mathbfit{\varpi}	U+1D755
\mathbfit{\varrho}	U+1D754
\mathbfit{\varsigma}	U+1D747
\mathbfit{\vartheta}	U+1D751
\mathbfit{\xi}	U+1D743
\mathbfit{\zeta}	U+1D73B
\mathbfit{a}	U+1D482
\mathbfit{b}	U+1D483
\mathbfit{c}	U+1D484
\mathbfit{d}	U+1D485
\mathbfit{e}	U+1D486
\mathbfit{f}	U+1D487
\mathbfit{g}	U+1D488
\mathbfit{h}	U+1D489
\mathbfit{i}	U+1D48A
\mathbfit{j}	U+1D48B
\mathbfit{k}	U+1D48C
\mathbfit{l}	U+1D48D
\mathbfit{m}	U+1D48E
\mathbfit{n}	U+1D48F
\mathbfit{o}	U+1D490
\mathbfit{p}	U+1D491
\mathbfit{q}	U+1D492
\mathbfit{r}	U+1D493
\mathbfit{s}	U+1D494
\mathbfit{t}	U+1D495
\mathbfit{u}	U+1D496
\mathbfit{v}	U+1D497
\mathbfit{w}	U+1D498
\mathbfit{x}	U+1D499
\mathbfit{y}	U+1D49A
\mathbfit{z}	U+1D49B
\mathbf{0}	U+1D7CE
\mathbf{1}	U+1D7CF
\mathbf{2}	U+1D7D0
\mathbf{3}	U+1D7D1
\mathbf{4}	U+1D7D2
\mathbf{5}	U+1D7D3
\mathbf{6}	U+1D7D4
\mathbf{7}	U+1D7D5
\mathbf{8}	U+1D7D6
\mathbf{9}	U+1D7D7
\mathbf{A}	U+1D400
\mathbf{B}	U+1D401
\mathbf{C}	U+1D402
\mathbf{D}	U+1D403
\mathbf{E}	U+1D404
\mathbf{F}	U+1D405
\mathbf{G}	U+1D406
\mathbf{H}	U+1D407
\mathbf{I}	U+1D408
\mathbf{J}	U+1D409
\mathbf{K}	U+1D40A
\mathbf{L}	U+1D40B
\mathbf{M}	U+1D40C
\mathbf{N}	U+1D40D
\mathbf{O}	U+1D40E
\mathbf{P}	U+1D40F
\mathbf{Q}	U+1D410
\mathbf{R}	U+1D411
\mathbf{S}	U+1D412
\mathbf{T}	U+1D413
\mathbf{U}	U+1D414
\mathbf{V}	U+1D415
\mathbf{W}	U+1D416
\mathbf{X}	U+1D417
\mathbf{Y}	U+1D418
\mathbf{Z}	U+1D419
\mathbf{\Delta}	U+1D6AB
\mathbf{\Gamma}	U+1D6AA
\mathbf{\Lambda}	U+1D6B2
\mathbf{\Omega}	U+1D6C0
\mathbf{\Phi}	U+1D6BD
\mathbf{\Pi}	U+1D6B7
\mathbf{\Psi}	U+1D6BF
\mathbf{\Sigma}	U+1D6BA
\mathbf{\Theta}	U+1D6AF
\mathbf{\Upsilon}	U+1D6BC
\mathbf{\Xi}	U+1D6B5
\mathbf{\alpha}	U+1D6C2
\mathbf{\beta}	U+1D6C3
\mathbf{\chi}	U+1D6D8
\mathbf{\delta}	U+1D6C5
\mathbf{\epsilon}	U+1D6DC
\mathbf{\eta}	U+1D6C8
\mathbf{\gamma}	U+1D6C4
\mathbf{\iota}	U+1D6CA
\mathbf{\kappa}	U+1D6CB
\mathbf{\lambda}	U+1D6CC
\mathbf{\mu}	U+1D6CD
\mathbf{\nu}	U+1D6CE
\mathbf{\omega}	U+1D6DA
\mathbf{\phi}	U+1D6DF
\mathbf{\pi}	U+1D6D1
\mathbf{\psi}	U+1D6D9
\mathbf{\rho}	U+1D6D2
\mathbf{\sigma}	U+1D6D4
\mathbf{\tau}	U+1D6D5
\mathbf{\theta}	U+1D6C9
\mathbf{\upsilon}	U+1D6D6
\mathbf{\varepsilon}	U+1D6C6
\mathbf{\varphi}	U+1D6D7
\mathbf{\varpi}	U+1D6E1
\mathbf{\varrho}	U+1D6E0
\mathbf{\varsigma}	U+1D6D3
\mathbf{\vartheta}	U+1D6DD
\mathbf{\xi}	U+1D6CF
\mathbf{\zeta}	U+1D6C7
\mathbf{a}	U+1D41A
\mathbf{b}	U+1D41B
\mathbf{c}	U+1D41C
\mathbf{d}	U+1D41D
\mathbf{e}	U+1D41E
\mathbf{f}	U+1D41F
\mathbf{g}	U+1D420
\mathbf{h}	U+1D421
\mathbf{i}	U+1D422
\mathbf{j}	U+1D423
\mathbf{k}	U+1D424
\mathbf{l}	U+1D425
\mathbf{m}	U+1D426
\mathbf{n}	U+1D427
\mathbf{o}	U+1D428
\mathbf{p}	U+1D429
\mathbf{q}	U+1D42A
\mathbf{r}	U+1D42B
\mathbf{s}	U+1D42C
\mathbf{t}	U+1D42D
\mathbf{u}	U+1D42E
\mathbf{v}	U+1D42F
\mathbf{w}	U+1D430
\mathbf{x}	U+1D431
\mathbf{y}	U+1D432
\mathbf{z}	U+1D433
\mathcal{A}	U+1D4D0
\mathcal{B}	U+1D4D1
\mathcal{C}	U+1D4D2
\mathcal{D}	U+1D4D3
\mathcal{E}	U+1D4D4
\mathcal{F}	U+1D4D5
\mathcal{G}	U+1D4D6
\mathcal{H}	U+1D4D7
\mathcal{I}	U+1D4D8
\mathcal{J}	U+1D4D9
\mathcal{K}	U+1D4DA
\mathcal{L}	U+1D4DB
\mathcal{M}	U+1D4DC
\mathcal{N}	U+1D4DD
\mathcal{O}	U+1D4DE
\mathcal{P}	U+1D4DF
\mathcal{Q}	U+1D4E0
\mathcal{R}	U+1D4E1
\mathcal{S}	U+1D4E2
\mathcal{T}	U+1D4E3
\mathcal{U}	U+1D4E4
\mathcal{V}	U+1D4E5
\mathcal{W}	U+1D4E6
\mathcal{X}	U+1D4E7
\mathcal{Y}	U+1D4E8
\mathcal{Z}	U+1D4E9
\mathcal{a}	U+1D4EA
\mathcal{b}	U+1D4EB
\mathcal{c}	U+1D4EC
\mathcal{d}	U+1D4ED
\mathcal{e}	U+1D4EE
\mathcal{f}	U+1D4EF
\mathcal{g}	U+1D4F0
\mathcal{h}	U+1D4F1
\mathcal{i}	U+1D4F2
\mathcal{j}	U+1D4F3
\mathcal{k}	U+1D4F4
\mathcal{l}	U+1D4F5
\mathcal{m}	U+1D4F6
\mathcal{n}	U+1D4F7
\mathcal{o}	U+1D4F8
\mathcal{p}	U+1D4F9
\mathcal{q}	U+1D4FA
\mathcal{r}	U+1D4FB
\mathcal{s}	U+1D4FC
\mathcal{t}	U+1D4FD
\mathcal{u}	U+1D4FE
\mathcal{v}	U+1D4FF
\mathcal{w}	U+1D500
\mathcal{x}	U+1D501
\mathcal{y}	U+1D502
\mathcal{z}	U+1D503
\mathds{1}	U+1D7D9
\mathds{A}	U+1D538
\mathds{B}	U+1D539
\mathds{C}	U+2102
\mathds{D}	U+1D53B
\mathds{E}	U+1D53C
\mathds{F}	U+1D53D
\mathds{G}	U+1D53E
\mathds{H}	U+210D
\mathds{I}	U+1D540
\mathds{J}	U+1D541
\mathds{K}	U+1D542
\mathds{L}	U+1D543
\mathds{M}	U+1D544
\mathds{N}	U+2115
\mathds{O}	U+1D546
\mathds{P}	U+2119
\mathds{Q}	U+211A
\mathds{R}	U+211D
\mathds{S}	U+1D54A
\mathds{T}	U+1D54B
\mathds{U}	U+1D54C
\mathds{V}	U+1D54D
\mathds{W}	U+1D54E
\mathds{X}	U+1D54F
\mathds{Y}	U+1D550
\mathds{Z}	U+2124
\mathds{h}	U+1D559
\mathds{k}	U+1D55C
\mathfrak{A}	U+1D504
\mathfrak{B}	U+1D505
\mathfrak{C}	U+212D
\mathfrak{D}	U+1D507
\mathfrak{E}	U+1D508
\mathfrak{F}	U+1D509
\mathfrak{G}	U+1D50A
\mathfrak{H}	U+210C
\mathfrak{J}	U+1D50D
\mathfrak{K}	U+1D50E
\mathfrak{L}	U+1D50F
\mathfrak{M}	U+1D510
\mathfrak{N}	U+1D511
\mathfrak{O}	U+1D512
\mathfrak{P}	U+1D513
\mathfrak{Q}	U+1D514
\mathfrak{S}	U+1D516
\mathfrak{T}	U+1D517
\mathfrak{U}	U+1D518
\mathfrak{V}	U+1D519
\mathfrak{W}	U+1D51A
\mathfrak{X}	U+1D51B
\mathfrak{Y}	U+1D51C
\mathfrak{Z}	U+2128
\mathfrak{a}	U+1D51E
\mathfrak{b}	U+1D51F
\mathfrak{c}	U+1D520
\mathfrak{d}	U+1D521
\mathfrak{e}	U+1D522
\mathfrak{f}	U+1D523
\mathfrak{g}	U+1D524
\mathfrak{h}	U+1D525
\mathfrak{i}	U+1D526
\mathfrak{j}	U+1D527
\mathfrak{k}	U+1D528
\mathfrak{l}	U+1D529
\mathfrak{m}	U+1D52A
\mathfrak{n}	U+1D52B
\mathfrak{o}	U+1D52C
\mathfrak{p}	U+1D52D
\mathfrak{q}	U+1D52E
\mathfrak{r}	U+1D52F
\mathfrak{s}	U+1D530
\mathfrak{t}	U+1D531
\mathfrak{u}	U+1D532
\mathfrak{v}	U+1D533
\mathfrak{w}	U+1D534
\mathfrak{x}	U+1D535
\mathfrak{y}	U+1D536
\mathfrak{z}	U+1D537
\mathring	U+30A
\mathscr{A}	U+1D49C
\mathscr{B}	U+212C
\mathscr{C}	U+1D49E
\mathscr{D}	U+1D49F
\mathscr{E}	U+2130
\mathscr{F}	U+2131
\mathscr{G}	U+1D4A2
\mathscr{H}	U+210B
\mathscr{I}	U+2110
\mathscr{J}	U+1D4A5
\mathscr{K}	U+1D4A6
\mathscr{L}	U+2112
\mathscr{M}	U+2133
\mathscr{N}	U+1D4A9
\mathscr{O}	U+1D4AA
\mathscr{P}	U+1D4AB
\mathscr{Q}	U+1D4AC
\mathscr{R}	U+211B
\mathscr{S}	U+1D4AE
\mathscr{T}	U+1D4AF
\mathscr{U}	U+1D4B0
\mathscr{V}	U+1D4B1
\mathscr{W}	U+1D4B2
\mathscr{X}	U+1D4B3
\mathscr{Y}	U+1D4B4
\mathscr{Z}	U+1D4B5
\mathsfbfit{A}	U+1D63C
\mathsfbfit{B}	U+1D63D
\mathsfbfit{C}	U+1D63E
\mathsfbfit{D}	U+1D63F
\mathsfbfit{E}	U+1D640
\mathsfbfit{F}	U+1D641
\mathsfbfit{G}	U+1D642
\mathsfbfit{H}	U+1D643
\mathsfbfit{I}	U+1D644
\mathsfbfit{J}	U+1D645
\mathsfbfit{K}	U+1D646
\mathsfbfit{L}	U+1D647
\mathsfbfit{M}	U+1D648
\mathsfbfit{N}	U+1D649
\mathsfbfit{O}	U+1D64A
\mathsfbfit{P}	U+1D64B
\mathsfbfit{Q}	U+1D64C
\mathsfbfit{R}	U+1D64D
\mathsfbfit{S}	U+1D64E
\mathsfbfit{T}	U+1D64F
\mathsfbfit{U}	U+1D650
\mathsfbfit{V}	U+1D651
\mathsfbfit{W}	U+1D652
\mathsfbfit{X}	U+1D653
\mathsfbfit{Y}	U+1D654
\mathsfbfit{Z}	U+1D655
\mathsfbfit{\Delta}	U+1D793
\mathsfbfit{\Gamma}	U+1D792
\mathsfbfit{\Lambda}	U+1D79A
\mathsfbfit{\Omega}	U+1D7A8
\mathsfbfit{\Phi}	U+1D7A5
\mathsfbfit{\Pi}	U+1D79F
\mathsfbfit{\Psi}	U+1D7A7
\mathsfbfit{\Sigma}	U+1D7A2
\mathsfbfit{\Theta}	U+1D797
\mathsfbfit{\Upsilon}	U+1D7A4
\mathsfbfit{\Xi}	U+1D79D
\mathsfbfit{\alpha}	U+1D7AA
\mathsfbfit{\beta}	U+1D7AB
\mathsfbfit{\chi}	U+1D7C0
\mathsfbfit{\delta}	U+1D7AD
\mathsfbfit{\epsilon}	U+1D7C4
\mathsfbfit{\eta}	U+1D7B0
\mathsfbfit{\gamma}	U+1D7AC
\mathsfbfit{\iota}	U+1D7B2
\mathsfbfit{\kappa}	U+1D7B3
\mathsfbfit{\lambda}	U+1D7B4
\mathsfbfit{\mu}	U+1D7B5
\mathsfbfit{\nu}	U+1D7B6
\mathsfbfit{\omega}	U+1D7C2
\mathsfbfit{\phi}	U+1D7C7
\mathsfbfit{\pi}	U+1D7B9
\mathsfbfit{\psi}	U+1D7C1
\mathsfbfit{\rho}	U+1D7BA
\mathsfbfit{\sigma}	U+1D7BC
\mathsfbfit{\tau}	U+1D7BD
\mathsfbfit{\theta}	U+1D7B1
\mathsfbfit{\upsilon}	U+1D7BE
\mathsfbfit{\varepsilon}	U+1D7AE
\mathsfbfit{\varphi}	U+1D7BF
\mathsfbfit{\varpi}	U+1D7C9
\mathsfbfit{\varrho}	U+1D7C8
\mathsfbfit{\varsigma}	U+1D7BB
\mathsfbfit{\vartheta}	U+1D7C5
\mathsfbfit{\xi}	U+1D7B7
\mathsfbfit{\zeta}	U+1D7AF
\mathsfbfit{a}	U+1D656
\mathsfbfit{b}	U+1D657
\mathsfbfit{c}	U+1D658
\mathsfbfit{d}	U+1D659
\mathsfbfit{e}	U+1D65A
\mathsfbfit{f}	U+1D65B
\mathsfbfit{g}	U+1D65C
\mathsfbfit{h}	U+1D65D
\mathsfbfit{i}	U+1D65E
\mathsfbfit{j}	U+1D65F
\mathsfbfit{k}	U+1D660
\mathsfbfit{l}	U+1D661
\mathsfbfit{m}	U+1D662
\mathsfbfit{n}	U+1D663
\mathsfbfit{o}	U+1D664
\mathsfbfit{p}	U+1D665
\mathsfbfit{q}	U+1D666
\mathsfbfit{r}	U+1D667
\mathsfbfit{s}	U+1D668
\mathsfbfit{t}	U+1D669
\mathsfbfit{u}	U+1D66A
\mathsfbfit{v}	U+1D66B
\mathsfbfit{w}	U+1D66C
\mathsfbfit{x}	U+1D66D
\mathsfbfit{y}	U+1D66E
\mathsfbfit{z}	U+1D66F
\mathsfbf{0}	U+1D7EC
\mathsfbf{1}	U+1D7ED
\mathsfbf{2}	U+1D7EE
\mathsfbf{3}	U+1D7EF
\mathsfbf{4}	U+1D7F0
\mathsfbf{5}	U+1D7F1
\mathsfbf{6}	U+1D7F2
\mathsfbf{7}	U+1D7F3
\mathsfbf{8}	U+1D7F4
\mathsfbf{9}	U+1D7F5
\mathsfbf{A}	U+1D5D4
\mathsfbf{B}	U+1D5D5
\mathsfbf{C}	U+1D5D6
\mathsfbf{D}	U+1D5D7
\mathsfbf{E}	U+1D5D8
\mathsfbf{F}	U+1D5D9
\mathsfbf{G}	U+1D5DA
\mathsfbf{H}	U+1D5DB
\mathsfbf{I}	U+1D5DC
\mathsfbf{J}	U+1D5DD
\mathsfbf{K}	U+1D5DE
\mathsfbf{L}	U+1D5DF
\mathsfbf{M}	U+1D5E0
\mathsfbf{N}	U+1D5E1
\mathsfbf{O}	U+1D5E2
\mathsfbf{P}	U+1D5E3
\mathsfbf{Q}	U+1D5E4
\mathsfbf{R}	U+1D5E5
\mathsfbf{S}	U+1D5E6
\mathsfbf{T}	U+1D5E7
\mathsfbf{U}	U+1D5E8
\mathsfbf{V}	U+1D5E9
\mathsfbf{W}	U+1D5EA
\mathsfbf{X}	U+1D5EB
\mathsfbf{Y}	U+1D5EC
\mathsfbf{Z}	U+1D5ED
\mathsfbf{\Delta}	U+1D759
\mathsfbf{\Gamma}	U+1D758
\mathsfbf{\Lambda}	U+1D760
\mathsfbf{\Omega}	U+1D76E
\mathsfbf{\Phi}	U+1D76B
\mathsfbf{\Pi}	U+1D765
\mathsfbf{\Psi}	U+1D76D
\mathsfbf{\Sigma}	U+1D768
\mathsfbf{\Theta}	U+1D75D
\mathsfbf{\Upsilon}	U+1D76A
\mathsfbf{\Xi}	U+1D763
\mathsfbf{\alpha}	U+1D770
\mathsfbf{\beta}	U+1D771
\mathsfbf{\chi}	U+1D786
\mathsfbf{\delta}	U+1D773
\mathsfbf{\epsilon}	U+1D78A
\mathsfbf{\eta}	U+1D776
\mathsfbf{\gamma}	U+1D772
\mathsfbf{\iota}	U+1D778
\mathsfbf{\kappa}	U+1D779
\mathsfbf{\lambda}	U+1D77A
\mathsfbf{\mu}	U+1D77B
\mathsfbf{\nu}	U+1D77C
\mathsfbf{\omega}	U+1D788
\mathsfbf{\phi}	U+1D78D
\mathsfbf{\pi}	U+1D77F
\mathsfbf{\psi}	U+1D787
\mathsfbf{\rho}	U+1D780
\mathsfbf{\sigma}	U+1D782
\mathsfbf{\tau}	U+1D783
\mathsfbf{\theta}	U+1D777
\mathsfbf{\upsilon}	U+1D784
\mathsfbf{\varepsilon}	U+1D774
\mathsfbf{\varphi}	U+1D785
\mathsfbf{\varpi}	U+1D78F
\mathsfbf{\varrho}	U+1D78E
\mathsfbf{\varsigma}	U+1D781
\mathsfbf{\vartheta}	U+1D78B
\mathsfbf{\xi}	U+1D77D
\mathsfbf{\zeta}	U+1D775
\mathsfbf{a}	U+1D5EE
\mathsfbf{b}	U+1D5EF
\mathsfbf{c}	U+1D5F0
\mathsfbf{d}	U+1D5F1
\mathsfbf{e}	U+1D5F2
\mathsfbf{f}	U+1D5F3
\mathsfbf{g}	U+1D5F4
\mathsfbf{h}	U+1D5F5
\mathsfbf{i}	U+1D5F6
\mathsfbf{j}	U+1D5F7
\mathsfbf{k}	U+1D5F8
\mathsfbf{l}	U+1D5F9
\mathsfbf{m}	U+1D5FA
\mathsfbf{n}	U+1D5FB
\mathsfbf{o}	U+1D5FC
\mathsfbf{p}	U+1D5FD
\mathsfbf{q}	U+1D5FE
\mathsfbf{r}	U+1D5FF
\mathsfbf{s}	U+1D600
\mathsfbf{t}	U+1D601
\mathsfbf{u}	U+1D602
\mathsfbf{v}	U+1D603
\mathsfbf{w}	U+1D604
\mathsfbf{x}	U+1D605
\mathsfbf{y}	U+1D606
\mathsfbf{z}	U+1D607
\mathsfit{A}	U+1D608
\mathsfit{B}	U+1D609
\mathsfit{C}	U+1D60A
\mathsfit{D}	U+1D60B
\mathsfit{E}	U+1D60C
\mathsfit{F}	U+1D60D
\mathsfit{G}	U+1D60E
\mathsfit{H}	U+1D60F
\mathsfit{I}	U+1D610
\mathsfit{J}	U+1D611
\mathsfit{K}	U+1D612
\mathsfit{L}	U+1D613
\mathsfit{M}	U+1D614
\mathsfit{N}	U+1D615
\mathsfit{O}	U+1D616
\mathsfit{P}	U+1D617
\mathsfit{Q}	U+1D618
\mathsfit{R}	U+1D619
\mathsfit{S}	U+1D61A
\mathsfit{T}	U+1D61B
\mathsfit{U}	U+1D61C
\mathsfit{V}	U+1D61D
\mathsfit{W}	U+1D61E
\mathsfit{X}	U+1D61F
\mathsfit{Y}	U+1D620
\mathsfit{Z}	U+1D621
\mathsfit{a}	U+1D622
\mathsfit{b}	U+1D623
\mathsfit{c}	U+1D624
\mathsfit{d}	U+1D625
\mathsfit{e}	U+1D626
\mathsfit{f}	U+1D627
\mathsfit{g}	U+1D628
\mathsfit{h}	U+1D629
\mathsfit{i}	U+1D62A
\mathsfit{j}	U+1D62B
\mathsfit{k}	U+1D62C
\mathsfit{l}	U+1D62D
\mathsfit{m}	U+1D62E
\mathsfit{n}	U+1D62F
\mathsfit{o}	U+1D630
\mathsfit{p}	U+1D631
\mathsfit{q}	U+1D632
\mathsfit{r}	U+1D633
\mathsfit{s}	U+1D634
\mathsfit{t}	U+1D635
\mathsfit{u}	U+1D636
\mathsfit{v}	U+1D637
\mathsfit{w}	U+1D638
\mathsfit{x}	U+1D639
\mathsfit{y}	U+1D63A
\mathsfit{z}	U+1D63B
\mathsf{0}	U+1D7E2
\mathsf{1}	U+1D7E3
\mathsf{2}	U+1D7E4
\mathsf{3}	U+1D7E5
\mathsf{4}	U+1D7E6
\mathsf{5}	U+1D7E7
\mathsf{6}	U+1D7E8
\mathsf{7}	U+1D7E9
\mathsf{8}	U+1D7EA
\mathsf{9}	U+1D7EB
\mathsf{A}	U+1D5A0
\mathsf{B}	U+1D5A1
\mathsf{C}	U+1D5A2
\mathsf{D}	U+1D5A3
\mathsf{E}	U+1D5A4
\mathsf{F}	U+1D5A5
\mathsf{G}	U+1D5A6
\mathsf{H}	U+1D5A7
\mathsf{I}	U+1D5A8
\mathsf{J}	U+1D5A9
\mathsf{K}	U+1D5AA
\mathsf{L}	U+1D5AB
\mathsf{M}	U+1D5AC
\mathsf{N}	U+1D5AD
\mathsf{O}	U+1D5AE
\mathsf{P}	U+1D5AF
\mathsf{Q}	U+1D5B0
\mathsf{R}	U+1D5B1
\mathsf{S}	U+1D5B2
\mathsf{T}	U+1D5B3
\mathsf{U}	U+1D5B4
\mathsf{V}	U+1D5B5
\mathsf{W}	U+1D5B6
\mathsf{X}	U+1D5B7
\mathsf{Y}	U+1D5B8
\mathsf{Z}	U+1D5B9
\mathsf{a}	U+1D5BA
\mathsf{b}	U+1D5BB
\mathsf{c}	U+1D5BC
\mathsf{d}	U+1D5BD
\mathsf{e}	U+1D5BE
\mathsf{f}	U+1D5BF
\mathsf{g}	U+1D5C0
\mathsf{h}	U+1D5C1
\mathsf{i}	U+1D5C2
\mathsf{j}	U+1D5C3
\mathsf{k}	U+1D5C4
\mathsf{l}	U+1D5C5
\mathsf{m}	U+1D5C6
\mathsf{n}	U+1D5C7
\mathsf{o}	U+1D5C8
\mathsf{p}	U+1D5C9
\mathsf{q}	U+1D5CA
\mathsf{r}	U+1D5CB
\mathsf{s}	U+1D5CC
\mathsf{t}	U+1D5CD
\mathsf{u}	U+1D5CE
\mathsf{v}	U+1D5CF
\mathsf{w}	U+1D5D0
\mathsf{x}	U+1D5D1
\mathsf{y}	U+1D5D2
\mathsf{z}	U+1D5D3
\mathtt{0}	U+1D7F6
\mathtt{1}	U+1D7F7
\mathtt{2}	U+1D7F8
\mathtt{3}	U+1D7F9
\mathtt{4}	U+1D7FA
\mathtt{5}	U+1D7FB
\mathtt{6}	U+1D7FC
\mathtt{7}	U+1D7FD
\mathtt{8}	U+1D7FE
\mathtt{9}	U+1D7FF
\mathtt{A}	U+1D670
\mathtt{B}	U+1D671
\mathtt{C}	U+1D672
\mathtt{D}	U+1D673
\mathtt{E}	U+1D674
\mathtt{F}	U+1D675
\mathtt{G}	U+1D676
\mathtt{H}	U+1D677
\mathtt{I}	U+1D678
\mathtt{J}	U+1D679
\mathtt{K}	U+1D67A
\mathtt{L}	U+1D67B
\mathtt{M}	U+1D67C
\mathtt{N}	U+1D67D
\mathtt{O}	U+1D67E
\mathtt{P}	U+1D67F
\mathtt{Q}	U+1D680
\mathtt{R}	U+1D681
\mathtt{S}	U+1D682
\mathtt{T}	U+1D683
\mathtt{U}	U+1D684
\mathtt{V}	U+1D685
\mathtt{W}	U+1D686
\mathtt{X}	U+1D687
\mathtt{Y}	U+1D688
\mathtt{Z}	U+1D689
\mathtt{a}	U+1D68A
\mathtt{b}	U+1D68B
\mathtt{c}	U+1D68C
\mathtt{d}	U+1D68D
\mathtt{e}	U+1D68E
\mathtt{f}	U+1D68F
\mathtt{g}	U+1D690
\mathtt{h}	U+1D691
\mathtt{i}	U+1D692
\mathtt{j}	U+1D693
\mathtt{k}	U+1D694
\mathtt{l}	U+1D695
\mathtt{m}	U+1D696
\mathtt{n}	U+1D697
\mathtt{o}	U+1D698
\mathtt{p}	U+1D699
\mathtt{q}	U+1D69A
\mathtt{r}	U+1D69B
\mathtt{s}	U+1D69C
\mathtt{t}	U+1D69D
\mathtt{u}	U+1D69E
\mathtt{v}	U+1D69F
\mathtt{w}	U+1D6A0
\mathtt{x}	U+1D6A1
\mathtt{y}	U+1D6A2
\mathtt{z}	U+1D6A3
\mbfAlpha	U+1D6A8
\mbfBeta	U+1D6A9
\mbfChi	U+1D6BE
\mbfDigamma	U+1D7CA
\mbfEpsilon	U+1D6AC
\mbfEta	U+1D6AE
\mbfIota	U+1D6B0
\mbfKappa	U+1D6B1
\mbfMu	U+1D6B3
\mbfNu	U+1D6B4
\mbfOmicron	U+1D6B6
\mbfRho	U+1D6B8
