latex	unicode
\mbfTau	U+1D6BB
\mbfZeta	U+1D6AD
\mbfdigamma	U+1D7CB
\mbffrakA	U+1D56C
\mbffrakB	U+1D56D
\mbffrakC	U+1D56E
\mbffrakD	U+1D56F
\mbffrakE	U+1D570
\mbffrakF	U+1D571
\mbffrakG	U+1D572
\mbffrakH	U+1D573
\mbffrakI	U+1D574
\mbffrakJ	U+1D575
\mbffrakK	U+1D576
\mbffrakL	U+1D577
\mbffrakM	U+1D578
\mbffrakN	U+1D579
\mbffrakO	U+1D57A
\mbffrakP	U+1D57B
\mbffrakQ	U+1D57C
\mbffrakR	U+1D57D
\mbffrakS	U+1D57E
\mbffrakT	U+1D57F
\mbffrakU	U+1D580
\mbffrakV	U+1D581
\mbffrakW	U+1D582
\mbffrakX	U+1D583
\mbffrakY	U+1D584
\mbffrakZ	U+1D585
\mbffraka	U+1D586
\mbffrakb	U+1D587
\mbffrakc	U+1D588
\mbffrakd	U+1D589
\mbffrake	U+1D58A
\mbffrakf	U+1D58B
\mbffrakg	U+1D58C
\mbffrakh	U+1D58D
\mbffraki	U+1D58E
\mbffrakj	U+1D58F
\mbffrakk	U+1D590
\mbffrakl	U+1D591
\mbffrakm	U+1D592
\mbffrakn	U+1D593
\mbffrako	U+1D594
\mbffrakp	U+1D595
\mbffrakq	U+1D596
\mbffrakr	U+1D597
\mbffraks	U+1D598
\mbffrakt	U+1D599
\mbffraku	U+1D59A
\mbffrakv	U+1D59B
\mbffrakw	U+1D59C
\mbffrakx	U+1D59D
\mbffraky	U+1D59E
\mbffrakz	U+1D59F
\mbfitAlpha	U+1D71C
\mbfitBeta	U+1D71D
\mbfitChi	U+1D732
\mbfitEpsilon	U+1D720
\mbfitEta	U+1D722
\mbfitIota	U+1D724
\mbfitKappa	U+1D725
\mbfitMu	U+1D727
\mbfitNu	U+1D728
\mbfitOmicron	U+1D72A
\mbfitRho	U+1D72C
\mbfitTau	U+1D72F
\mbfitZeta	U+1D721
\mbfitnabla	U+1D735
\mbfitomicron	U+1D744
\mbfitpartial	U+1D74F
\mbfitsansAlpha	U+1D790
\mbfitsansBeta	U+1D791
\mbfitsansChi	U+1D7A6
\mbfitsansEpsilon	U+1D794
\mbfitsansEta	U+1D796
\mbfitsansIota	U+1D798
\mbfitsansKappa	U+1D799
\mbfitsansMu	U+1D79B
\mbfitsansNu	U+1D79C
\mbfitsansOmicron	U+1D79E
\mbfitsansRho	U+1D7A0
\mbfitsansTau	U+1D7A3
\mbfitsansZeta	U+1D795
\mbfitsansnabla	U+1D7A9
\mbfitsansomicron	U+1D7B8
\mbfitsanspartial	U+1D7C3
\mbfitsansvarTheta	U+1D7A1
\mbfitsansvarkappa	U+1D7C6
\mbfitvarTheta	U+1D72D
\mbfitvarkappa	U+1D752
\mbfnabla	U+1D6C1
\mbfomicron	U+1D6D0
\mbfpartial	U+1D6DB
\mbfsansAlpha	U+1D756
\mbfsansBeta	U+1D757
\mbfsansChi	U+1D76C
\mbfsansEpsilon	U+1D75A
\mbfsansEta	U+1D75C
\mbfsansIota	U+1D75E
\mbfsansKappa	U+1D75F
\mbfsansMu	U+1D761
\mbfsansNu	U+1D762
\mbfsansOmicron	U+1D764
\mbfsansRho	U+1D766
\mbfsansTau	U+1D769
\mbfsansZeta	U+1D75B
\mbfsansnabla	U+1D76F
\mbfsansomicron	U+1D77E
\mbfsanspartial	U+1D789
\mbfsansvarTheta	U+1D767
\mbfsansvarkappa	U+1D78C
\mbfscrA	U+1D4D0
\mbfscrB	U+1D4D1
\mbfscrC	U+1D4D2
\mbfscrD	U+1D4D3
\mbfscrE	U+1D4D4
\mbfscrF	U+1D4D5
\mbfscrG	U+1D4D6
\mbfscrH	U+1D4D7
\mbfscrI	U+1D4D8
\mbfscrJ	U+1D4D9
\mbfscrK	U+1D4DA
\mbfscrL	U+1D4DB
\mbfscrM	U+1D4DC
\mbfscrN	U+1D4DD
\mbfscrO	U+1D4DE
\mbfscrP	U+1D4DF
\mbfscrQ	U+1D4E0
\mbfscrR	U+1D4E1
\mbfscrS	U+1D4E2
\mbfscrT	U+1D4E3
\mbfscrU	U+1D4E4
\mbfscrV	U+1D4E5
\mbfscrW	U+1D4E6
\mbfscrX	U+1D4E7
\mbfscrY	U+1D4E8
\mbfscrZ	U+1D4E9
\mbfscra	U+1D4EA
\mbfscrb	U+1D4EB
\mbfscrc	U+1D4EC
\mbfscrd	U+1D4ED
\mbfscre	U+1D4EE
\mbfscrf	U+1D4EF
\mbfscrg	U+1D4F0
\mbfscrh	U+1D4F1
\mbfscri	U+1D4F2
\mbfscrj	U+1D4F3
\mbfscrk	U+1D4F4
\mbfscrl	U+1D4F5
\mbfscrm	U+1D4F6
\mbfscrn	U+1D4F7
\mbfscro	U+1D4F8
\mbfscrp	U+1D4F9
\mbfscrq	U+1D4FA
\mbfscrr	U+1D4FB
\mbfscrs	U+1D4FC
\mbfscrt	U+1D4FD
\mbfscru	U+1D4FE
\mbfscrv	U+1D4FF
\mbfscrw	U+1D500
\mbfscrx	U+1D501
\mbfscry	U+1D502
\mbfscrz	U+1D503
\mbfvarTheta	U+1D6B9
\mbfvarkappa	U+1D6DE
\mdblkdiamond	U+2B25
\mdblklozenge	U+2B27
\mdlgblksquare	U+25A0
\mdlgwhtsquare	U+25A1
\mdsmblksquare	U+25FE
\mdsmwhtcircle	U+26AC
\mdsmwhtsquare	U+25FD
\mdwhtdiamond	U+2B26
\mdwhtlozenge	U+2B28
\measangledltosw	U+29AF
\measangledrtose	U+29AE
\measangleldtosw	U+29AB
\measanglelutonw	U+29A9
\measanglerdtose	U+29AA
\measanglerutone	U+29A8
\measangleultonw	U+29AD
\measangleurtone	U+29AC
\measeq	U+225E
\measuredangle	U+2221
\measuredangleleft	U+299B
\measuredrightangle	U+22BE
\medblackstar	U+2B51
\medbullet	U+26AB
\medcirc	U+26AA
\medwhitestar	U+2B50
\mercury	U+263F
\mho	U+2127
\mid	U+2223
\midbarvee	U+2A5D
\midbarwedge	U+2A5C
\midcir	U+2AF0
\minusdot	U+2A2A
\minusfdots	U+2A2B
\minusrdots	U+2A2C
\mitAlpha	U+1D6E2
\mitBeta	U+1D6E3
\mitChi	U+1D6F8
\mitEpsilon	U+1D6E6
\mitEta	U+1D6E8
\mitIota	U+1D6EA
\mitKappa	U+1D6EB
\mitMu	U+1D6ED
\mitNu	U+1D6EE
\mitOmicron	U+1D6F0
\mitRho	U+1D6F2
\mitTau	U+1D6F5
\mitZeta	U+1D6E7
\mitnabla	U+1D6FB
\mitomicron	U+1D70A
\mitvarTheta	U+1D6F3
\mlcp	U+2ADB
\models	U+22A7
\modtwosum	U+2A0A
\mp	U+2213
\mu	U+3BC
\multimap	U+22B8
\multimapboth	U+29DF
\multimapdotbothA	U+22B6
\multimapdotbothB	U+22B7
\multimapinv	U+27DC
\nHdownarrow	U+21DF
\nHuparrow	U+21DE
\nLeftarrow	U+21CD
\nLeftrightarrow	U+21CE
\nRightarrow	U+21CF
\nVDash	U+22AF
\nVdash	U+22AE
\nVleftarrow	U+21FA
\nVleftarrowtail	U+2B3A
\nVleftrightarrow	U+21FC
\nVtwoheadleftarrow	U+2B35
\nVtwoheadleftarrowtail	U+2B3D
\nVtwoheadrightarrow	U+2901
\nVtwoheadrightarrowtail	U+2918
\nabla	U+2207
\napprox	U+2249
\natural	U+266E
\ncong	U+2247
\nearrow	U+2197
\neg	U+AC
\neovnwarrow	U+2931
\neovsearrow	U+292E
\neptune	U+2646
\neq	U+2260
\nequiv	U+2262
\neswarrow	U+2922
\neuter	U+26B2
\nexists	U+2204
\ngeq	U+2271
\ngtr	U+226F
\nhVvert	U+2AF5
\nhpar	U+2AF2
\ni	U+220B
\niobar	U+22FE
\nis	U+22FC
\nisd	U+22FA
\nleftarrow	U+219A
\nleftrightarrow	U+21AE
\nleq	U+2270
\nless	U+226E
\nlessgtr	U+2278
\nmid	U+2224
\nni	U+220C
\not	U+338
\not\equiv	U+2262
\notasymp	U+226D
\notbackslash	U+2340
\notin	U+2209
\notslash	U+233F
\nparallel	U+2226
\npolint	U+2A14
\nprec	U+2280
\npreceq	U+22E0
\nrightarrow	U+219B
\nsim	U+2241
\nsimeq	U+2244
\nsqsubseteq	U+22E2
\nsqsupseteq	U+22E3
\nsubset	U+2284
\nsubseteq	U+2288
\nsucc	U+2281
\nsucceq	U+22E1
\nsupset	U+2285
\nsupseteq	U+2289
\ntriangleleft	U+22EA
\ntrianglelefteq	U+22EC
\ntriangleright	U+22EB
\ntrianglerighteq	U+22ED
\nu	U+3BD
\nvDash	U+22AD
\nvLeftarrow	U+2902
\nvLeftrightarrow	U+2904
\nvRightarrow	U+2903
\nvdash	U+22AC
\nvinfty	U+29DE
\nvleftarrow	U+21F7
\nvleftarrowtail	U+2B39
\nvleftrightarrow	U+21F9
\nvtwoheadleftarrow	U+2B34
\nvtwoheadleftarrowtail	U+2B3C
\nvtwoheadrightarrowtail	U+2917
\nwarrow	U+2196
\nwovnearrow	U+2932
\nwsearrow	U+2921
\obar	U+233D
\obot	U+29BA
\obrbrak	U+23E0
\ocommatopright	U+315
\odiv	U+2A38
\odot	U+2299
\odotslashdot	U+29BC
\oiiint	U+2230
\oiint	U+222F
\oint	U+222E
\ointctrclockwise	U+2233
\olcross	U+29BB
\omega	U+3C9
\omicron	U+6F
\ominus	U+2296
\operp	U+29B9
\oplus	U+2295
\opluslhrim	U+2A2D
\oplusrhrim	U+2A2E
\oslash	U+2298
\otimes	U+2297
\otimeshat	U+2A36
\otimeslhrim	U+2A34
\otimesrhrim	U+2A35
\oturnedcomma	U+312
\overbrace	U+23DE
\overbracket	U+23B4
\overleftrightarrow	U+20E1
\overline	U+305
\overparen	U+23DC
\ovhook	U+309
\parallel	U+2225
\parallelogram	U+25B1
\parallelogramblack	U+25B0
\parr	U+214B
\parsim	U+2AF3
\partial	U+2202
\partialmeetcontraction	U+2AA3
\pencil	U+270E
\pentagon	U+2B20
\pentagonblack	U+2B1F
\perp	U+27C2
\perps	U+2AE1
\pfun	U+21F8
\phi	U+3D5
\pi	U+3C0
\pinj	U+2914
\pisces	U+2653
\pitchfork	U+22D4
\plusdot	U+2A25
\pluseqq	U+2A72
\plushat	U+2A23
\plussim	U+2A26
\plussubtwo	U+2A27
\plustrif	U+2A28
\pluto	U+2647
\pm	U+B1
\pointint	U+2A15
\pointright	U+261E
\postalmark	U+3012
\pounds	U+A3
\prec	U+227A
\precapprox	U+2AB7
\preccurlyeq	U+227C
\preceq	U+2AAF
\preceqq	U+2AB3
\precnapprox	U+2AB9
\precneq	U+2AB1
\precneqq	U+2AB5
\precnsim	U+22E8
\precsim	U+227E
\prime	U+2032
\prod	U+220F
\profline	U+2312
\profsurf	U+2313
\propto	U+221D
\prurel	U+22B0
\psi	U+3C8
\psur	U+2900
\pullback	U+27D3
\pushout	U+27D4
\qoppa	U+3D9
\quad	U+2001
\quarternote	U+2669
\questeq	U+225F
\rBrace	U+2984
\radiation	U+2622
\rang	U+27EB
\rangle	U+27E9
\rangledot	U+2992
\rangledownzigzagarrow	U+237C
\rblkbrbrak	U+2998
\rblot	U+298A
\rbracelend	U+23AD
\rbracemid	U+23AC
\rbraceuend	U+23AB
\rbrack	U+5D
\rbrackextender	U+23A5
\rbracklend	U+23A6
\rbracklrtick	U+298E
\rbrackubar	U+298C
\rbrackuend	U+23A4
\rbrackurtick	U+2990
\rbrbrak	U+2773
\rceil	U+2309
\rcurvyangle	U+29FD
\rdiagovfdiag	U+292B
\rdiagovsearrow	U+2930
\recycle	U+267B
\revangle	U+29A3
\revangleubar	U+29A5
\revemptyset	U+29B0
\revnmid	U+2AEE
\rfbowtie	U+29D2
\rfloor	U+230B
\rftimes	U+29D5
\rgroup	U+27EF
\rhd	U+25B7
\rho	U+3C1
\rightangle	U+221F
\rightanglemdot	U+299D
\rightanglesqr	U+299C
\rightarrow	U+2192
\rightarrowapprox	U+2975
\rightarrowbackapprox	U+2B48
\rightarrowbsimilar	U+2B4C
\rightarrowdiamond	U+291E
\rightarrowgtr	U+2B43
\rightarrowonoplus	U+27F4
\rightarrowplus	U+2945
\rightarrowshortleftarrow	U+2942
\rightarrowsimilar	U+2974
\rightarrowsupset	U+2B44
\rightarrowtail	U+21A3
\rightarrowtriangle	U+21FE
\rightarrowx	U+2947
\rightbarharpoon	U+296C
\rightbkarrow	U+290D
\rightdbltail	U+291C
\rightdotarrow	U+2911
\rightdowncurvedarrow	U+2937
\rightharpoondown	U+21C1
\rightharpoonup	U+21C0
\rightimply	U+2970
\rightleftarrows	U+21C4
\rightleftharpoon	U+294B
\rightleftharpoons	U+21CC
\rightleftharpoonsdown	U+2969
\rightleftharpoonsup	U+2968
\rightmoon	U+263D
\rightouterjoin	U+27D6
\rightpentagon	U+2B54
\rightpentagonblack	U+2B53
\rightrightarrows	U+21C9
\rightrightharpoons	U+2964
\rightslice	U+2AA7
\rightsquigarrow	U+21DD
\righttail	U+291A
\rightthreearrows	U+21F6
\rightthreetimes	U+22CC
\rightupdownharpoon	U+294F
\rightwavearrow	U+219D
\rightwhitearrow	U+21E8
\rimg	U+2988
\ringplus	U+2A22
\risingdotseq	U+2253
\rmoustache	U+23B1
\rparenextender	U+239F
\rparengtr	U+2994
\rparenlend	U+23A0
\rparenuend	U+239E
\rppolint	U+2A12
\rrbracket	U+27E7
\rsolbar	U+29F7
\rsqhook	U+2ACE
\rsub	U+2A65
\rtimes	U+22CA
\rtriltri	U+29CE
\ruledelayed	U+29F4
\rvboxline	U+23B9
\rvzigzag	U+29D9
\sagittarius	U+2650
\sampi	U+3E1
\sansLmirrored	U+2143
\sansLturned	U+2142
\saturn	U+2644
\scorpio	U+264F
\scpolint	U+2A13
\scurel	U+22B1
\searrow	U+2198
\second	U+2033
\seovnearrow	U+292D
\setminus	U+29F5
\sharp	U+266F
\shortdowntack	U+2ADF
\shortlefttack	U+2ADE
\shortrightarrowleftarrow	U+2944
\shortuptack	U+2AE0
\shuffle	U+29E2
\sigma	U+3C3
\sim	U+223C
\simeq	U+2243
\simgE	U+2AA0
\simgtr	U+2A9E
\similarleftarrow	U+2B49
\similarrightarrow	U+2972
\simlE	U+2A9F
\simless	U+2A9D
\simminussim	U+2A6C
\simneqq	U+2246
\simplus	U+2A24
\simrdots	U+2A6B
\sixteenthnote	U+266C
\skull	U+2620
\slash	U+2215
\smallin	U+220A
\smallni	U+220D
\smallsetminus	U+2216
\smalltriangledown	U+25BF
\smalltriangleleft	U+25C3
\smalltriangleright	U+25B9
\smalltriangleup	U+25B5
\smashtimes	U+2A33
\smblkdiamond	U+2B29
\smblklozenge	U+2B2A
\smblksquare	U+25AA
\smeparsl	U+29E4
\smile	U+2323
\smiley	U+263A
\smt	U+2AAA
\smte	U+2AAC
\smwhitestar	U+2B52
\smwhtcircle	U+25E6
\smwhtlozenge	U+2B2B
\smwhtsquare	U+25AB
\spadesuit	U+2660
\spddot	U+A8
\sphat	U+5E
\sphericalangle	U+2222
\sphericalangleup	U+29A1
\spot	U+2981
\sptilde	U+7E
\sqcap	U+2293
\sqcup	U+2294
\sqint	U+2A16
\sqrt	U+221A
\sqrt[3]	U+221B
\sqrt[4]	U+221C
\sqrtbottom	U+23B7
\sqsubset	U+228F
\sqsubseteq	U+2291
\sqsubsetneq	U+22E4
\sqsupset	U+2290
\sqsupseteq	U+2292
\sqsupsetneq	U+22E5
\square	U+25FB
\squarebotblack	U+2B13
\squarecrossfill	U+25A9
\squarehfill	U+25A4
\squarehvfill	U+25A6
\squareleftblack	U+25E7
\squarellblack	U+2B15
\squarellquad	U+25F1
\squarelrblack	U+25EA
\squarelrquad	U+25F2
\squareneswfill	U+25A8
\squarenwsefill	U+25A7
\squarerightblack	U+25E8
\squaretopblack	U+2B12
\squareulblack	U+25E9
\squareulquad	U+25F0
\squareurblack	U+2B14
\squareurquad	U+25F3
\squarevfill	U+25A5
\squoval	U+25A2
\sslash	U+2AFD
\star	U+22C6
\stareq	U+225B
\steaming	U+2615
\stigma	U+3DB
\strictfi	U+297C
\strictif	U+297D
\strns	U+23E4
\subedot	U+2AC3
\submult	U+2AC1
\subrarr	U+2979
\subset	U+2282
\subsetapprox	U+2AC9
\subsetcirc	U+27C3
\subsetdot	U+2ABD
\subseteq	U+2286
\subseteqq	U+2AC5
\subsetneq	U+228A
\subsetneqq	U+2ACB
\subsetplus	U+2ABF
\subsim	U+2AC7
\subsub	U+2AD5
\subsup	U+2AD3
\succ	U+227B
\succapprox	U+2AB8
\succcurlyeq	U+227D
\succeq	U+2AB0
\succeqq	U+2AB4
\succnapprox	U+2ABA
\succneq	U+2AB2
\succneqq	U+2AB6
\succnsim	U+22E9
\succsim	U+227F
\sum	U+2211
\sumbottom	U+23B3
\sumint	U+2A0B
\sumtop	U+23B2
\sun	U+263C
\supdsub	U+2AD8
\supedot	U+2AC4
\suphsol	U+27C9
\suphsub	U+2AD7
\suplarr	U+297B
\supmult	U+2AC2
\supset	U+2283
\supsetapprox	U+2ACA
\supsetcirc	U+27C4
\supsetdot	U+2ABE
\supseteq	U+2287
\supseteqq	U+2AC6
\supsetneq	U+228B
\supsetneqq	U+2ACC
\supsetplus	U+2AC0
\supsim	U+2AC8
\supsub	U+2AD4
\supsup	U+2AD6
\swarrow	U+2199
\swords	U+2694
\talloblong	U+2AFE
\tau	U+3C4
\taurus	U+2649
\tcohm	U+2126
\textquotedblleft	U+22
\therefore	U+2234
\thermod	U+29E7
\theta	U+3B8
\third	U+2034
\threedangle	U+27C0
\threedotcolon	U+2AF6
\threeunderdot	U+20E8
\tieinfty	U+29DD
\tilde	U+303
\times	U+D7
\timesbar	U+2A31
\tminus	U+29FF
\toea	U+2928
\tona	U+2927
\top	U+22A4
\topbot	U+2336
\topcir	U+2AF1
\topfork	U+2ADA
\topsemicircle	U+25E0
\tosa	U+2929
\towa	U+292A
\tplus	U+29FE
\trapezium	U+23E2
\trianglecdot	U+25EC
\triangleleftblack	U+25ED
\trianglelefteq	U+22B4
\triangleminus	U+2A3A
\triangleodot	U+29CA
\triangleplus	U+2A39
\triangleq	U+225C
\triangleright	U+25B7
\trianglerightblack	U+25EE
\trianglerighteq	U+22B5
\triangles	U+29CC
\triangleserifs	U+29CD
\triangletimes	U+2A3B
\triangleubar	U+29CB
\tripleplus	U+29FB
\trslash	U+2AFB
\turnangle	U+29A2
\turnediota	U+2129
\turnednot	U+2319
\twocaps	U+2A4B
\twocups	U+2A4A
\twoheaddownarrow	U+21A1
\twoheadleftarrow	U+219E
\twoheadleftarrowtail	U+2B3B
\twoheadleftdbkarrow	U+2B37
\twoheadmapsfrom	U+2B36
\twoheadmapsto	U+2905
\twoheadrightarrow	U+21A0
\twoheaduparrow	U+219F
\twoheaduparrowcircle	U+2949
\twolowline	U+2017
\twonotes	U+266B
\typecolon	U+2982
\ubrbrak	U+23E1
\ularc	U+25DC
\ulblacktriangle	U+25E4
\ulcorner	U+231C
\ultriangle	U+25F8
\uminus	U+2A41
\underbar	U+331
\underbrace	U+23DF
\underbracket	U+23B5
\underleftarrow	U+20EE
\underleftharpoondown	U+20ED
\underline	U+332
\underparen	U+23DD
\underrightarrow	U+20EF
\underrightharpoondown	U+20EC
\upAlpha	U+391
\upBeta	U+392
\upChi	U+3A7
\upEpsilon	U+395
\upEta	U+397
\upIota	U+399
\upKappa	U+39A
\upMu	U+39C
\upNu	U+39D
\upOmicron	U+39F
\upRho	U+3A1
\upTau	U+3A4
\upUpsilon	U+3D2
\upZeta	U+396
\uparrow	U+2191
\uparrowbarred	U+2909
\uparrowoncircle	U+29BD
\updasharrow	U+21E1
\updownarrow	U+2195
\updownarrowbar	U+21A8
\updownarrows	U+21C5
\updownharpoonleftright	U+294D
\updownharpoonrightleft	U+294C
\updownharpoons	U+296E
\upfishtail	U+297E
\upharpoonleft	U+21BF
\upharpoonright	U+21BE
\upin	U+27D2
\upint	U+2A1B
\uplus	U+228E
\upomicron	U+3BF
\uprightcurvearrow	U+2934
\upsilon	U+3C5
\upuparrows	U+21C8
\upupharpoons	U+2963
\upvarTheta	U+3F4
\upwhitearrow	U+21E7
\uranus	U+2645
\urarc	U+25DD
\urblacktriangle	U+25E5
\urcorner	U+231D
\urtriangle	U+25F9
\utilde	U+330
\vBar	U+2AE8
\vBarv	U+2AE9
\vDash	U+22A8
\vDdash	U+2AE2
\varVdash	U+2AE6
\varbarwedge	U+2305
\varbeta	U+3D0
\varcarriagereturn	U+23CE
\varclubsuit	U+2667
\vardiamondsuit	U+2666
\vardoublebarwedge	U+2306
\varepsilon	U+3B5
\varheartsuit	U+2665
\varhexagon	U+2B21
\varhexagonblack	U+2B22
\varhexagonlrbonds	U+232C
\varisins	U+22F3
\varkappa	U+3F0
\varlrtriangle	U+22BF
\varniobar	U+22FD
\varnis	U+22FB
\varnothing	U+2205
\varointclockwise	U+2232
\varphi	U+3C6
\varpi	U+3D6
\varprod	U+2A09
\varrho	U+3F1
\varsigma	U+3C2
\varspadesuit	U+2664
\varstar	U+2736
\vartheta	U+3D1
\vartriangleleft	U+22B2
\vartriangleright	U+22B3
\varveebar	U+2A61
\vbraceextender	U+23AA
\vdash	U+22A2
\vdots	U+22EE
\vec	U+20D1
\vectimes	U+2A2F
\vee	U+2228
\veebar	U+22BB
\veedot	U+27C7
\veedoublebar	U+2A63
\veeeq	U+225A
\veemidvert	U+2A5B
\veeodot	U+2A52
\veeonvee	U+2A56
\veeonwedge	U+2A59
\vertoverlay	U+20D2
\viewdata	U+2317
\virgo	U+264D
\vlongdash	U+27DD
\vrectangle	U+25AF
\vrectangleblack	U+25AE
\vysmblksquare	U+2B1D
\vysmwhtsquare	U+2B1E
\vzigzag	U+299A
\warning	U+26A0
\wasylozenge	U+2311
\wedge	U+2227
\wedgebar	U+2A5F
\wedgedot	U+27D1
\wedgedoublebar	U+2A60
\wedgemidvert	U+2A5A
\wedgeodot	U+2A51
\wedgeonwedge	U+2A55
\whitearrowupfrombar	U+21EA
\whiteinwhitetriangle	U+27C1
\whitepointerleft	U+25C5
\whitepointerright	U+25BB
\whitesquaretickleft	U+27E4
\whitesquaretickright	U+27E5
\whthorzoval	U+2B2D
\whtvertoval	U+2B2F
\wideangledown	U+29A6
\wideangleup	U+29A7
\widebridgeabove	U+20E9
\wp	U+2118
\wr	U+2240
\xi	U+3BE
\xsol	U+29F8
\yen	U+A5
\yinyang	U+262F
\zcmp	U+2A1F
\zeta	U+3B6
\zhide	U+29F9
\zpipe	U+2A20
\zproject	U+2A21
\{	U+7B
\|	U+2016
\}	U+7D
]	U+5D
`	U+60
a	U+61
b	U+62
c	U+63
d	U+64
e	U+65
f	U+66
g	U+67
h	U+68
i	U+69
j	U+6A
k	U+6B
l	U+6C
m	U+6D
n	U+6E
o	U+6F
p	U+70
q	U+71
r	U+72
s	U+73
t	U+74
u	U+75
v	U+76
w	U+77
x	U+78
y	U+79
z	U+7A
|	U+7C